20150111225212,192.168.0.2,56920,192.168.0.3,5001,4,0.0-1.0,393216,3145728
20150111225213,192.168.0.2,56921,192.168.0.3,5001,5,0.0-1.0,524288,4194304
20150111225213,192.168.0.2,56919,192.168.0.3,5001,3,0.0-1.0,524288,4194304
20150111225213,192.168.0.2,56922,192.168.0.3,5001,6,0.0-1.0,524288,4194304
20150111225213,192.168.0.2,0,192.168.0.3,5001,-1,0.0-1.0,1966080,15728640
20150111225213,192.168.0.2,56919,192.168.0.3,5001,3,1.0-2.0,262144,2097152
20150111225213,192.168.0.2,56922,192.168.0.3,5001,6,1.0-2.0,262144,2097152
20150111225213,192.168.0.2,56921,192.168.0.3,5001,5,1.0-2.0,262144,2097152
20150111225213,192.168.0.2,56920,192.168.0.3,5001,4,1.0-2.0,393216,3145728
20150111225213,192.168.0.2,0,192.168.0.3,5001,-1,1.0-2.0,1179648,9437184
20150111225214,192.168.0.2,56919,192.168.0.3,5001,3,2.0-3.0,262144,2097152
20150111225214,192.168.0.2,56922,192.168.0.3,5001,6,2.0-3.0,262144,2097152
20150111225214,192.168.0.2,56920,192.168.0.3,5001,4,2.0-3.0,262144,2097152
20150111225214,192.168.0.2,56921,192.168.0.3,5001,5,2.0-3.0,393216,3145728
20150111225214,192.168.0.2,0,192.168.0.3,5001,-1,2.0-3.0,1179648,9437184
20150111225215,192.168.0.2,56921,192.168.0.3,5001,5,3.0-4.0,262144,2097152
20150111225215,192.168.0.2,56922,192.168.0.3,5001,6,3.0-4.0,393216,3145728
20150111225216,192.168.0.2,56919,192.168.0.3,5001,3,3.0-4.0,524288,4194304
20150111225216,192.168.0.2,56920,192.168.0.3,5001,4,3.0-4.0,524288,4194304
20150111225216,192.168.0.2,0,192.168.0.3,5001,-1,3.0-4.0,1703936,13631488
20150111225216,192.168.0.2,56922,192.168.0.3,5001,6,4.0-5.0,393216,3145728
20150111225216,192.168.0.2,56920,192.168.0.3,5001,4,4.0-5.0,262144,2097152
20150111225216,192.168.0.2,56919,192.168.0.3,5001,3,4.0-5.0,262144,2097152
20150111225216,192.168.0.2,56921,192.168.0.3,5001,5,4.0-5.0,393216,3145728
20150111225216,192.168.0.2,0,192.168.0.3,5001,-1,4.0-5.0,1310720,10485760
20150111225217,192.168.0.2,56919,192.168.0.3,5001,3,5.0-6.0,393216,3145728
20150111225217,192.168.0.2,56922,192.168.0.3,5001,6,5.0-6.0,393216,3145728
20150111225217,192.168.0.2,56920,192.168.0.3,5001,4,5.0-6.0,393216,3145728
20150111225217,192.168.0.2,56921,192.168.0.3,5001,5,5.0-6.0,393216,3145728
20150111225217,192.168.0.2,0,192.168.0.3,5001,-1,5.0-6.0,1572864,12582912
20150111225218,192.168.0.2,56921,192.168.0.3,5001,5,6.0-7.0,262144,2097152
20150111225218,192.168.0.2,56920,192.168.0.3,5001,4,6.0-7.0,262144,2097152
20150111225219,192.168.0.2,56922,192.168.0.3,5001,6,6.0-7.0,393216,3145728
20150111225219,192.168.0.2,56919,192.168.0.3,5001,3,6.0-7.0,393216,3145728
20150111225219,192.168.0.2,0,192.168.0.3,5001,-1,6.0-7.0,1310720,10485760
20150111225220,192.168.0.2,56921,192.168.0.3,5001,5,7.0-8.0,393216,3145728
20150111225220,192.168.0.2,56919,192.168.0.3,5001,3,7.0-8.0,262144,2097152
20150111225220,192.168.0.2,56920,192.168.0.3,5001,4,7.0-8.0,393216,3145728
20150111225220,192.168.0.2,56922,192.168.0.3,5001,6,7.0-8.0,262144,2097152
